"FECHA_DE_AUTORIZACIÓN","TIPO_DE_SOLICITUD","SOLICITANTE/IMPORTADOR","IUM","PRINCIPIO_ACTIVO1","CONCENTRACIÓN_DELMEDICAMENTO1","UNIDAD_MEDIDA1","PRINCIPIO_ACTIVO2","CONCENTRACIÓN_DEL_MEDICAMENTO2","UNIDAD_MEDIDA2","FORMA_FARMACÉUTICA","NOMBRE_COMERCIAL_","CANTIDAD_SOLICITADA","PRESENTACIÓN_COMERCIAL","DIAGNOSTICO_CIE-1NO REPORTA","CÓDIGO_DIAGNOSTICO_CIE-10"
"2026 Jan 13 12:00:00 AM","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1A1014821003100","AMIODARONA","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10.040","CAJAS X 5 AMPOLLAS DE 3 mL","ARRITMIA CARDIACA, NO ESPECIFICADA","I499"
"2026 Jan 13 12:00:00 AM","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1A1014821003100","AMIODARONA","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","9.760","CAJAS X 5 AMPOLLAS DE 3 mL","ARRITMIA CARDIACA, NO ESPECIFICADA","I499"
"2026 Jan 13 12:00:00 AM","MÁS DE UN PACIENTE","PHARMARKET AI S.A.S","1I1062421000100","INTERFERON ALFA 2B (Recombinante)","10","MUI/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","RELIFERON","500","CAJAS. CADA CAJA CON UN (1) VIAL","MIELOMA MULTIPLE","C900"
"2026 Jan 13 12:00:00 AM","PACIENTE ESPECIFICO","INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)","1H1012341000100","HIDROCORTISONA","10","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","CORTEF","3","FRASCOS X 100 TABLETAS","TRASTORNOS ADRENOGENITALES CONGENITOS CON DEFICIENCIA ENZIMATICA","E250"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","NEXT PHARMA SOURCING S.A.S.","1I1033751003100","INMUNOGLOBULINA","100","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCION PARA INFUSION","IMMUNOREL","4.000","CAJAS X UN (1) VIAL X 50 mL","NO REPORTADO","NO REPORTADO"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","BLAU FARMACÉUTICA COLOMBIA SAS","1C1038531002100","CITARABINA","500","mg/Vial","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","NO REPORTADO","6.600","CAJAS X UN (1) VIAL","LEUCEMIA MIELOIDE AGUDA","C920"
"2026 Jan 09 12:00:00 AM","PACIENTE ESPECIFICO","AUDIFARMA S.A.","1A1000141000100","ATALUREN","250","mg","NO APLICA","NO APLICA","NO APLICA","POLVO GRANULADO PARA RECONSTITUIR A SUSPENSIÓN ORAL","TRANSLARNA","18","CAJAS X 30 SOBRES","DISTROFIA MUSCULAR","G710"
"2026 Jan 09 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2026 Jan 09 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1B1060621000100","BUDESONIDA","4","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","TARPEYO","3","FRASCOS X 120 CAPSULAS","NEFROPATIA HEREDITARIA, NO CLASIFICADA EN OTRA PARTE: LESIONES GLOMERULARES FOCALES Y SEGMENTARIAS","N071"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1060831000100","Derm.pter. 50% + Derm.farinae  50%","300","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","688","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1060841000100","Derm. pter. 100%","300","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","80","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1032111000101","Derm.pter.  50% + Blomia trop.  50%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","19","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1060831000100","Derm.pter. 50% + Derm.farinae  50%","300","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","1","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1032111000101","Derm.pter.  50% + Blomia trop.  50%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","101","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1006301000101","Derm.pter.50% + Derm.farinae 50%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","254","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1063791000100","Cupressus ariz. 100%","1000","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","10","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1019341000101","Blomia trop. 100%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","32","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1019341000101","Blomia trop. 100%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","28","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1006311000101","Depigoid Derm.pter.34% + Derm.farinae 33% + Blomia trop.33%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","403","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1019361000101","Grupo Gramineas 100%","1000","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","101","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","2A1060831000100","Derm.pter. 50% + Derm.farinae  50%","300","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","31","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","MÁS DE UN PACIENTE","ALERGOLOGOS CLÍNICOS ASOCIADOS S.A.S.","1A1063761000100","Lepidoglyphus d. 100%","100","DDP/ml","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","DEPIGOID","15","ESTUCHES X 2 VIALES","ALERGIA NO ESPECIFICADA","T784"
"2026 Jan 09 12:00:00 AM","PACIENTE ESPECIFICO","LABORATORIOS BIOPAS S.A.","1M1041941000100","MARALIXIBAT","950/100","mg/mL","NO APLICA","NO APLICA","NO APLICA","JARABE","LIVMARLI","4","CAJA X UN FRASCO DE 30 mL + UNA JERINGA DOSIFICADORA DE 0.5 ML O UNA JERINGA DOSIFICADORA DE 1 mL O UNA JERINGA DOSIFICADORA DE 3 mL","OTRAS ENFERMEDADES ESPECIFICAS DEL HIGADO","K768"
"2026 Jan 09 12:00:00 AM","URGENCIA CLÍNICA","UNO HEALTHCARE S.A.S.","1M1006441000100","CISTEAMINA BITARTRATO","75","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","PROCYSBI","19","FRASCOS X 250 CAPSULAS","TRASPLANTE DE RIÑON","Z940"
"2026 Jan 09 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2026 Jan 09 12:00:00 AM","PACIENTE ESPECIFICO","INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)","1F1007471000102","FLECAINIDA","100","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TAMBOCOR","8","CAJA X 100 TABLETAS","TAQUICARDIA VENTRICULAR","I472"
"2026 Jan 08 12:00:00 AM","MÁS DE UN PACIENTE","NEXT PHARMA SOURCING S.A.S.","1I1030991005100","INMUNOGLOBULINA HUMANA NORMAL","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","IMMUNOREL","6.289","CAJAS X 1 VIAL X 100 mL","OTROS TRASTORNOS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE","D77X"
"2026 Jan 08 12:00:00 AM","MÁS DE UN PACIENTE","NEXT PHARMA SOURCING S.A.S.","1I1030991005100","INMUNOGLOBULINA HUMANA NORMAL","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","IMMUNOREL","6.585","CAJAS X 1 VIAL X 100 mL","OTROS TRASTORNOS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE","D77X"
"2026 Jan 08 12:00:00 AM","MÁS DE UN PACIENTE","ROCKA INTERNATIONAL SOLUTIONS","1I1030991023100","INMUNOGLOBULINA HUMANA NORMAL","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","IMMUPRO","3.000","CAJAS. CADA CAJA CON UN (1) VIAL X 100ml","OTROS TRASTORNOS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE","D77X"
"2026 Jan 08 12:00:00 AM","MÁS DE UN PACIENTE","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1E1032401003100","ETOSUXIMIDA","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","JARABE","PETINIMID","150","CAJAS. CADA CAJA CON UN (1) FRASCO X 250 mL","SINDROMES EPILEPTICOS ESPECIALES","G405"
"2026 Jan 08 12:00:00 AM","MÁS DE UN PACIENTE","NEXT PHARMA SOURCING S.A.S.","1M1023741013100","MERCAPTOPURINA","50","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","NO REPORTADO","500","CAJAS. CADA CAJA X100 TABLETAS","LEUCEMIA LINFOBLASTICA AGUDA","C910"
"2026 Jan 08 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1T1001911004100","TOLVAPTAN","15","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","72","CAJAS X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO ADULTO","Q612"
"2026 Jan 08 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1062411000101","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/150","mg","NO APLICA","NO APLICA","NO APLICA","GRANULOS DE LIBERACION NO MODIFICADA","TRIKAFTA","6","CADA CAJA CONTIENE KIT POR 56 SOBRES, DE ELEXACAFTOR 100 MG/ TEZACAFTOR 50 MG / IVACAFTOR 75 MG (28 SOBRES) & DE IVACAFTOR 75 MG (28 SOBRES)","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2026 Jan 08 12:00:00 AM","PACIENTE ESPECIFICO","SALUTIS SAS - VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2026 Jan 08 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1V1061391000100","VOCLOSPORINA","7.9","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","LUPKYNIS","3","CAJAS X 180 CAPSULAS","NEFRITIS LUPICA IV/IV","NO REPORTADO"
"2026 Jan 07 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1T1001911004100","TOLVAPTAN","15","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","72","CAJAS X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO NO ESPECIFICADO","Q613"
"2026 Jan 07 12:00:00 AM","PACIENTE ESPECIFICO","IMPROVIT MEDICAL SAS","1T1001911004100","TOLVAPTAN","15","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","36","CAJAS X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO ADULTO","Q612"
"2026 Jan 07 12:00:00 AM","PACIENTE ESPECIFICO","AUDIFARMA S.A.","1A1000141000100","ATALUREN","250","mg","NO APLICA","NO APLICA","NO APLICA","POLVO GRANULADO PARA RECONSTITUIR A SUSPENSIÓN ORAL","TRANSLARNA","18","CAJAS X 30 SOBRES","DISTROFIA MUSCULAR","G710"
"2026 Jan 07 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - ASTRAZENECA","1S1040361000101","SELUMETINIB","10","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULAS DE LIBERACIÓN NO MODIFICADA","KOSELUGO","6","FRASCOS X 60 CÁPSULAS","NEUROFIBROMATOSIS (NO MALIGNA)","Q850"
"2026 Jan 07 12:00:00 AM","PACIENTE ESPECIFICO","IMPROVIT MEDICAL SAS","1T1001911004100","TOLVAPTAN","15","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","96","CAJAS X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO ADULTO","Q612"
"2026 Jan 07 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1A1001611000100","AMILORIDE","5","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","MODAMIDE","6","CAJA X 30 TABLETAS","SINDROME DE GITELMAN","NO REPORTADO"
"2026 Jan 07 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1P1012181004100","CLORURO DE POTASIO","1500","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","NO REPORTADO","18","FRASCOS X 100 TABLETAS","SINDROME DE GITELMAN","NO REPORTADO"
"2026 Jan 07 12:00:00 AM","URGENCIA CLÍNICA","UNO HEALTHCARE S.A.S.","SIN IUM POR SER FITOTERAPEUTICO","EXTRACTO SECO DE LA CORTEZA DE ABEDUL-BETULINA","100","mg","NO APLICA","NO APLICA","NO APLICA","GEL","FILSUVEZ","36","TUBO X 23.4 g","EPIDERMOLISIS BULLOSA DISTROFICA","Q812"
"2026 Jan 07 12:00:00 AM","URGENCIA CLÍNICA","SANOFI AVENTIS DE COLOMBIA S.A.","1O1060961000101","OLIPUDASA ALFA","4","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO PARA RECONSTITUIR PARA SOLUCIÓN PARA PERFUSIÓN","XENPOZYME","10","CAJAS X 1 VIAL X 1 ML","ENFERMEDAD DE NIEMANN-PICK TIPO B","NO REPORTADO"
"2026 Jan 07 12:00:00 AM","URGENCIA CLÍNICA","SANOFI AVENTIS DE COLOMBIA S.A.","1O1060961000100","OLIPUDASA ALFA","4","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO PARA RECONSTITUIR PARA SOLUCIÓN PARA PERFUSIÓN","XENPOZYME","4","CAJAS X 1 VIAL X 5 ML","ENFERMEDAD DE NIEMANN-PICK TIPO B","NO REPORTADO"
"2026 Jan 07 12:00:00 AM","PACIENTE ESPECIFICO","IMED ORPHAN S.A.S","1C1024071000100","CREATINA MONOHIDRATO","83333/100","mg/g","NO APLICA","NO APLICA","NO APLICA","POLVOS PARA NO RECONSTITUIR","VITAFLO","42","CAJAS X 30 SOBRES DE 6g","ENCEFALOPATIA NO ESPECIFICADA","G934"
"2026 Jan 07 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2026 Jan 07 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1E1061661000100","ESPARSENTAN","200","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","FILSPARI","6","FRASCO X 30 TABLETAS","NEFROPATIA POR IgA","NO REPORTADO"
"2026 Jan 07 12:00:00 AM","URGENCIA CLÍNICA","MULTICARE PHARMACEUTICALS COLOMBIA SAS","1V1041501000100","VOSORITIDA","0.8","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","VOXZOGO","18","CAJAS X 10 VIALES  + 10 JERINGAS PRECARGADAS X 0.7 mL de SOLVENTE","ACONDROPLASIA","Q774"
"2026 Jan 06 12:00:00 AM","MÁS DE UN PACIENTE","AL PHARMA S.A.S","1H1046221004100","HIDROXICARBAMIDA (HIDROXIUREA)","500","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","PROPTIVA","930","CAJAS X 100 CÁPSULAS","LEUCEMIA MIELOIDE CRONICA","C921"
"2026 Jan 06 12:00:00 AM","MÁS DE UN PACIENTE","AL PHARMA S.A.S","1H1046221004100","HIDROXICARBAMIDA (HIDROXIUREA)","500","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","PROPTIVA","605","CAJAS X 100 CÁPSULAS","LEUCEMIA MIELOIDE CRONICA","C921"
"2026 Jan 06 12:00:00 AM","MÁS DE UN PACIENTE","AL PHARMA S.A.S","1H1046221004100","HIDROXICARBAMIDA (HIDROXIUREA)","500","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","PROPTIVA","930","CAJAS X 100 CÁPSULAS","LEUCEMIA MIELOIDE CRONICA","C921"
"2026 Jan 06 12:00:00 AM","MÁS DE UN PACIENTE","AL PHARMA S.A.S","1H1046221004100","HIDROXICARBAMIDA (HIDROXIUREA)","500","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","PROPTIVA","605","CAJAS X 100 CÁPSULAS","LEUCEMIA MIELOIDE CRONICA","C921"
"2026 Jan 06 12:00:00 AM","MÁS DE UN PACIENTE","AL PHARMA S.A.S","1H1046221004100","HIDROXICARBAMIDA (HIDROXIUREA)","500","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","PROPTIVA","930","CAJAS X 100 CÁPSULAS","LEUCEMIA MIELOIDE CRONICA","C921"
"2026 Jan 06 12:00:00 AM","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1A1014821003100","AMIODARONA","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","SICMAFARMA","10.000","CAJA X 5 AMPOLLAS DE 3 mL","NO REPORTADO","NO REPORTADO"
"2026 Jan 06 12:00:00 AM","MÁS DE UN PACIENTE","I.D.PHARMA-L.A.B. S.A.S","1A1000281013100","AZUL DE METILENO","10","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","MEBLU - N","5.000","CAJAS X 1 AMPOLLA DE 10 mL","NO REPORTADO","NO REPORTADO"
"2026 Jan 06 12:00:00 AM","MÁS DE UN PACIENTE","UNO HEALTHCARE S.A.S.","1M1000831000104","METRELEPTIN","5","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","MYALEPT","600","CAJAS X 1 VIAL X 2,26 mL + FRASCO CON AGUA BACTERIOSTATICA","NO REPORTADO","NO REPORTADO"
"2026 Jan 06 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2026 Jan 06 12:00:00 AM","PACIENTE ESPECIFICO","AUDIFARMA S.A.","1A1000141000100","ATALUREN","250","mg","NO APLICA","NO APLICA","NO APLICA","POLVO GRANULADO PARA RECONSTITUIR A SUSPENSIÓN ORAL","TRANSLARNA","48","CAJAS X 30 SOBRES","DISTROFIA MUSCULAR","G710"
